iter	Passed	Remaining
0	66	19759
1	167	24985
2	271	26844
3	348	2578844	448	2643455	566	2777566	676	2831177	745	2719388	838	2709899	934	27097110	1029	27041111	1133	27201112	1243	27451
13	1365	27889
14	1462	27783
15	1537	27283
16	1576	26251117	1623	2543118	1716	25386119	1821	25495220	1905	25322221	1990	2515622	2082	25079
23	2155	24785
24	2225	24485
25	2303	24271
26	2368	23945
227	2464	23945228	2560	23925229	2656	23912330	2750	23867
31	2854	23903
32	2943	23817
33	3038	23775
34	3128	23684
35	3229	23685
36	3327	23655
37	3418	23570
38	3502	23441
39	3593	23356
40	3675	23218
41	3763	23116
42	3861	23081
43	3931	22875
44	4026	22819
45	4124	22776
46	4216	22696
47	4287	22507
48	4396	22520
49	4476	22382
50	4569	22310
51	4676	22303
52	4751	22145
53	4838	22041
54	4934	21983
55	5005	21809
56	5072	21624
57	5100	21281
58	5183	21173
59	5271	21085
60	5346	20949
61	5428	20836
62	5513	20741
63	5633	20773
64	5725	20698
65	5791	20533
66	5876	20435
67	5977	20394
68	6076	20343
69	6181	20311
70	6286	20275
71	6376	20190
72	6465	20104
73	6534	19955
74	6647	19941
75	6730	19837
76	6799	19692
77	6910	19667
78	7013	19619
79	7115	19568
80	7180	19415
81	7203	19149
82	7227	18895
83	7263	18677
84	7311	18493
85	7353	18297
86	7391	18096
87	7443	17932
88	7491	17761
89	7578	17683
90	7670	17615
91	7786	17605
92	7862	17501
93	7950	17424
94	8035	17340
95	8134	17284
96	8233	17230
97	8327	17164
98	8409	17074
99	8486	16972
100	8578	16902
101	8645	16781
102	8714	16666
103	8818	16618
104	8910	16548
105	8987	16449
106	9055	16333
107	9128	16228
108	9190	16105
109	9246	15971
110	9333	15892
111	9426	15822
112	9554	15810
113	9636	15722
114	9665	15548
115	9691	15372
116	9712	15190
117	9740	15024
118	9774	14866
119	9798	14120	120	9830	14121	9930	14488
122	9996	14385
123	10074	14299
124	10145	14204
125	10208	14096
126	10283	14008
127	10372	13937
128	10441	13840
129	10536	13779
130	10614	13693
131	10714	13636
132	10777	13532
133	10889	13490
134	10964	13400
135	11064	13342
136	11173	13293
137	11256	13214
138	11377	13178
139	11465	13103
140	11548	13023
141	11647	12960
142	11703	12848
143	11804	12787
144	11900	12721
145	11995	12653
146	12104	12598
147	12187	12516
148	12269	12433
149	12324	12324
150	12385	12221
151	12450	12122
152	12534	12043
153	12609	11954
154	12697	11878
155	12744	11764
156	12837	11693
157	12927	11618
158	12965	11497
159	13035	11405
160	13127	11333
161	13194	11239
162	13306	11183
163	13392	11105
164	13459	11012
165	13557	10943
166	13608	10838
167	13697	10761
168	13782	10683
169	13820	10568
170	13877	10468
171	13952	10383
172	14020	10292
173	14072	10190
174	14154	10110
175	14227	10024
176	14289	9930
177	14374	9852
178	14470	9782
179	14555	9703
180	14633	9621
181	14712	9538
182	14796	9459
183	14871	9375
184	14942	9288
185	14984	9184
186	15043	9090
187	15151	9026
188	15250	8956
189	15319	8869
190	15394	8785
191	15443	8686
192	15524	8607
193	15595	8521
194	15673	8439
195	15781	8373
196	15857	8291
197	15952	8218
198	16025	8133
199	16100	8050
200	16162	7960
201	16224	7871
202	16330	7803
203	16421	7727
204	16519	7655
205	16650	7597
206	16717	7510
207	16798	7429
208	16899	7358
209	16996	7284
210	17071	7200
211	17145	7117
212	17240	7041
213	17301	6952
214	17382	6872
215	17462	6790
216	17537	6707
217	176218	1765218	17723	6555
219	17836	6486
220	17925	6407
221	180222	1803222	180223	1811223	18172	6165
224	18262	6087
225	18338	6004
226	184227	1844227	184228	1853228	185229	1859229	185230	18680	5579
231	1872231	187232	18806	5407
233	18938	5341
234	19047	5268
235	19122	5185
236	19222	5109
237	19281	5022
238	19364	4942
239	19450	4862
240	19539	4783
241	19595	4696
242	19629	4604
243	1966243	196244	1968244	19694	4421
245	19769	4339
246	19845	4258
247	19931	4179
248	20006	4097
249	20074	4014
250	20158	3935
251	20244	3856
252	20332	3777
253	20403	3695
254	20467	3611
255	20558	3533
256	20629	3451
257	20707	3371
258	20781	3289
259	20852	3208
260	20909	3124
261	20991	3044
262	21064	2963
263	21129	2881
264	21196	2799
265	21261	2717
266	21338	2637
267	21433	2559
268	21504	2478
269	21583	2398
270	21650	2316
271	21745	2238
272	21829	2158
273	21918	2079
274	21986	1998
275	22087	1920
276	22161	1840
277	22245	1760
278	22317	1679
279	22390	1599
280	22457	1518
281	22534	1438
282	22590	1357
283	22656	1276
284	22725	1196
285	22805	1116
286	22873	1036
287	22955	956
288	23031	876
289	23080	795
290	23123	715
291	23174	634
292	23220	554
293	23250	474
294	23282	394
295	23311	315
296	23338	235
297	23359	156
298	23379	78
299	23398	0

