Accident_Index,Date,Time,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Speed_limit,Junction_Detail,Urban_or_Rural_Area,Latitude,Longitude
A000000,07/04/2023,08:58,3,4,3,6,2,4,40,5,2,50.63399109108159,2.0772762348986222
A000001,28/11/2023,13:42,3,3,0,3,3,7,20,9,2,52.74330817197852,2.415315893607485
A000002,17/01/2023,09:29,3,5,3,2,5,6,40,2,1,51.31935485744825,0.23217173007768252
A000003,24/12/2023,12:07,3,4,3,6,5,5,70,6,2,52.403494387628996,0.6783245324485497
A000004,05/02/2023,09:39,3,5,0,6,6,7,40,9,2,51.150705344923566,-0.5170838387743885
A000005,26/08/2023,14:07,3,5,0,4,5,1,60,3,1,51.55059498079734,-1.772235717413382
A000006,25/09/2023,21:22,2,1,1,4,3,7,40,8,1,50.02282420984383,-1.2142905579327739
A000007,11/11/2023,19:14,3,2,1,4,4,7,60,6,2,49.958845051774276,-0.47587740344977403
A000008,24/05/2023,22:10,3,1,1,4,3,5,20,8,2,53.31807390027631,-1.7194105139108642
A000009,26/05/2023,14:54,3,1,1,1,3,1,20,1,1,53.324931747991904,1.575774757745433
A000010,01/02/2023,22:18,3,1,1,4,2,7,20,7,2,50.370388668658364,2.293931488553572
A000011,06/05/2023,22:00,3,5,1,1,5,5,20,5,1,53.45257357114031,-1.9107712230994673
A000012,15/09/2023,21:48,3,1,0,3,4,1,40,1,1,50.00561145750645,-2.5746188614599643
A000013,15/07/2023,04:48,3,1,3,8,5,7,60,7,2,53.498385387934825,0.6775278870966371
A000014,30/01/2023,21:48,3,1,1,2,6,1,50,3,1,50.040943986481174,1.3838667225975017
A000015,17/03/2023,23:12,3,1,1,9,6,6,50,6,2,49.59102211893455,-1.9584298947889696
A000016,21/11/2023,15:12,3,1,2,3,6,4,60,9,2,53.33404681129744,0.05466372234866376
A000017,04/11/2023,10:23,3,2,0,2,2,6,30,6,2,52.75566160313565,2.0172734232070764
A000018,01/09/2023,22:55,3,4,0,4,6,1,20,6,1,50.46755636853646,1.5906409011775922
A000019,02/11/2023,20:10,3,2,0,5,1,5,60,2,1,50.4613253097244,1.4337945279289106
A000020,07/02/2023,19:20,3,5,2,8,3,7,30,9,2,53.47285629537742,-0.15922907745096496
A000021,26/03/2023,04:57,3,3,0,4,6,6,40,9,2,53.448471022462805,-1.1288029173334235
A000022,23/04/2023,01:45,2,1,2,7,1,7,60,0,2,53.17459598230363,1.389003607498839
A000023,06/05/2023,09:44,3,1,3,5,2,4,70,2,1,50.18034507022742,-1.716577497116081
A000024,16/06/2023,17:05,2,4,2,2,5,5,70,5,2,49.5692890398028,2.3118262119116113
A000025,21/05/2023,02:26,3,4,3,4,6,6,60,3,2,53.26645751465218,1.1202307926374035
A000026,20/08/2023,10:37,3,4,3,5,3,1,30,8,2,50.52768737673286,2.2145931300391317
A000027,02/08/2023,07:59,2,5,0,8,2,6,20,3,2,50.905015323351705,2.2923897097032877
A000028,20/06/2023,12:34,3,5,2,9,4,7,50,1,2,50.2028962923348,0.9952195403435141
