Accident_Index,Vehicle_Reference,Vehicle_Type,Age_of_Vehicle,Engine_Capacity,Age_of_Driver,Sex_of_Driver
A000000,1,13,2013,2500,76,2
A000001,1,18,2013,2500,22,1
A000002,1,14,2011,1400,74,2
A000003,1,1,2017,2500,40,2
A000004,1,6,2020,2500,23,1
A000005,1,3,2019,2000,19,2
A000006,1,13,2009,1400,25,1
A000007,1,12,2020,1600,23,1
A000008,1,19,2011,2000,58,2
A000009,1,17,2015,1000,40,2
A000010,1,16,2007,2000,70,2
A000011,1,6,2018,1400,38,1
A000012,1,15,2009,1400,20,2
A000013,1,2,2017,2000,21,2
A000014,1,5,2019,1400,63,2
A000015,1,6,2016,2000,78,1
A000016,1,4,2016,2500,77,1
A000017,1,15,2004,2000,30,2
A000018,1,12,2008,2500,47,1
A000019,1,1,2017,2500,26,1
A000020,1,6,2018,2500,55,1
A000021,1,6,2014,2000,51,1
A000022,1,11,2021,1600,63,2
A000023,1,17,2007,2500,28,2
A000024,1,8,2016,1000,51,1
A000025,1,9,2009,1600,31,2
A000026,1,12,2008,1400,67,1
A000027,1,9,2017,1000,34,1
A000028,1,7,2015,2000,76,1
A000029,1,8,2012,1600,34,2
A000030,1,5,2009,1400,55,2
A000031,1,19,2014,1600,80,1
A000032,1,14,2021,1600,58,1
A000033,1,16,2004,2000,62,2
A000034,1,9,2013,1400,53,1
A000035,1,20,2023,1000,74,1
A000036,1,1,2005,2500,31,2
A000037,1,8,2004,1400,42,2
A000038,1,20,2005,1600,22,2
A000039,1,17,2016,2000,20,2
A000040,1,5,2010,1000,19,1
A000041,1,20,2009,2500,58,2
A000042,1,6,2008,1400,52,1
A000043,1,2,2021,1000,78,2
A000044,1,16,2016,2000,70,1
A000045,1,4,2011,1600,55,2
A000046,1,9,2021,1000,42,2
A000047,1,17,2020,2000,24,2
A000048,1,2,2007,1400,31,2
A000049,1,9,2004,2000,19,1
A000050,1,3,2022,2500,79,1
A000051,1,15,2019,1000,22,1
A000052,1,7,2013,1000,80,2
A000053,1,16,2005,2000,40,2
A000054,1,8,2015,2500,52,1
A000055,1,6,2015,2000,68,1
A000056,1,2,2015,2500,80,1
A000057,1,19,2009,2000,41,2
A000058,1,18,2017,1400,43,2
A000059,1,19,2009,2000,56,2
A000060,1,9,2007,2000,73,2
A000061,1,12,2022,2000,22,2
A000062,1,17,2016,2000,50,1
A000063,1,17,2010,1400,55,1
A000064,1,6,2006,2500,68,1
A000065,1,2,2012,1600,62,1
A000066,1,8,2019,2500,49,2
A000067,1,15,2018,1600,64,1
A000068,1,4,2021,2500,42,1
A000069,1,13,2022,1400,54,1
A000070,1,1,2004,2500,28,1
A000071,1,4,2009,1600,79,1
A000072,1,17,2008,2000,42,1
A000073,1,18,2016,2000,36,1
A000074,1,12,2013,2500,46,1
A000075,1,15,2022,1400,48,2
A000076,1,20,2017,1000,37,2
A000077,1,20,2007,1400,58,2
A000078,1,7,2010,1400,55,1
A000079,1,5,2011,1400,42,2
A000080,1,10,2023,1400,43,1
A000081,1,2,2011,1400,53,1
A000082,1,20,2011,1000,18,2
A000083,1,11,2019,2500,27,2
A000084,1,5,2020,2500,24,1
A000085,1,8,2015,2000,64,2
A000086,1,7,2018,1400,71,2
A000087,1,19,2012,1400,72,2
A000088,1,9,2018,2000,21,1
A000089,1,1,2013,2000,53,2
A000090,1,9,2005,1600,47,1
A000091,1,15,2014,1000,36,2
A000092,1,4,2006,2500,28,2
A000093,1,6,2011,2500,66,1
A000094,1,13,2004,1600,56,1
A000095,1,4,2020,1600,28,1
A000096,1,20,2007,1000,47,1
A000097,1,8,2008,2500,48,1
A000098,1,7,2016,1400,32,1
A000099,1,9,2014,1400,21,2
A000100,1,13,2014,1000,53,1
A000101,1,13,2013,1400,62,2
A000102,1,18,2014,1400,79,2
A000103,1,4,2023,1400,70,1
A000104,1,13,2022,1000,55,1
A000105,1,13,2009,1000,37,2
A000106,1,18,2008,2500,21,1
A000107,1,3,2015,1600,41,1
A000108,1,8,2005,2000,28,1
A000109,1,7,2008,2000,49,1
A000110,1,7,2009,2500,31,1
A000111,1,6,2015,2500,36,1
A000112,1,8,2020,1000,79,2
A000113,1,6,2019,1600,61,2
A000114,1,7,2006,1600,33,1
A000115,1,11,2023,1000,44,2
A000116,1,10,2014,1000,80,1
A000117,1,2,2016,1600,20,1
A000118,1,7,2008,1400,38,2
A000119,1,2,2023,1000,52,2
A000120,1,11,2012,1600,31,2
A000121,1,18,2009,2500,69,1
A000122,1,8,2013,1000,35,1
A000123,1,12,2011,1600,35,1
A000124,1,4,2016,1000,40,1
A000125,1,9,2016,1600,74,2
A000126,1,11,2017,1400,77,1
A000127,1,3,2021,2000,18,1
A000128,1,16,2010,1600,59,2
